firstName,lastName,email,residence,lat,lon
Kismat,Shroff,drishyamallick@hotmail.com,"575, Edwin Circle, Bahraich-255519",13.010025895408063,77.62104744796308
Krish,Rastogi,lkhanna@hotmail.com,"67, Chakrabarti, Imphal-368159",12.961478120369584,77.56378390307016
Priyansh,Sarkar,baraltaran@hotmail.com,"98/24, Yohannan Nagar, Vellore-880986",13.083081671125194,77.65499710158433
Neysa,Char,mirayaapte@yahoo.com,"H.No. 54, Subramanian Road, Panchkula 258060",13.079803163267654,77.61591534610258
Lavanya,Jain,vidur32@yahoo.com,"579, Barad, Ahmednagar 396135",12.958066288577124,77.52886498894735
Yakshit,Bora,seshadrialisha@yahoo.com,"H.No. 150, Kala Marg, Nashik 723014",12.969483204593493,77.52894170786192
Azad,Chacko,krish72@yahoo.com,"92/158, Lalla Street, Narasaraopet-982350",13.040664950895748,77.5549090821253
Reyansh,Gandhi,trivedivanya@yahoo.com,"H.No. 77, Aggarwal Chowk, Raebareli-419897",12.88400520884456,77.63409899150174
Raunak,Mane,shaan34@gmail.com,"49/57, Sem Nagar, Agartala 876222",13.038966777769447,77.64741910739018
Riaan,Ben,janiraunak@hotmail.com,"415, Mane Marg, Malegaon 866229",12.923737166252435,77.56992215916763
Mamooty,Mane,contractorarmaan@yahoo.com,"876, Hari Nagar, Amaravati 446270",12.917760297452661,77.49797984636082
Kismat,Dhar,navyamani@yahoo.com,"38, Sangha Chowk, Darbhanga 520842",12.92779392470367,77.6402362959128
Vivaan,Sheth,aryavritika@hotmail.com,"52/928, Yogi Marg, Gandhidham 978691",13.071656462359122,77.56985352970722
Zara,Salvi,shererati@hotmail.com,"H.No. 46, Tella Marg, Tirupati 402833",12.990367997221865,77.52974288465535
Kavya,Bora,babudamini@gmail.com,"85/25, Majumdar, Maheshtala 686068",12.951179881951973,77.62383714262816
Ryan,Wable,kamdarsumer@hotmail.com,"95, Varkey Street, Dehradun-165248",13.005775855475079,77.58800913146953
Farhan,Master,yuvraj-dube@hotmail.com,"93, Barad Chowk, Ranchi 409059",12.9387274346717,77.64768947308826
Riya,Warrior,kannanmanjari@yahoo.com,"H.No. 461, Bail Zila, Hubli–Dharwad 930638",12.923474077067068,77.50605303829045
Anika,Sastry,ishaan03@hotmail.com,"15/62, Dar Chowk, Rajpur Sonarpur 208910",12.94568531539,77.55906439035917
Abram,Ghose,sanghamadhav@gmail.com,"58/00, Sandal Nagar, Howrah-803425",12.942331057069072,77.60386098729245
Mohanlal,Choudhury,kanavtrivedi@hotmail.com,"H.No. 501, Dugar Street, Ghaziabad-979004",12.990105229536846,77.64404249365799
Ivan,Sen,aarush11@gmail.com,"057, Bandi Marg, Gandhidham 226156",13.034277321994873,77.60947855284984
Nitara,Dua,vdas@yahoo.com,"H.No. 708, Chander Chowk, Khora  730696",13.006044974789994,77.71953430564811
Rati,Tank,igera@hotmail.com,"874, Seshadri Marg, Panvel-090624",13.091270109187457,77.56917791050758
Miraan,Ram,shalvdara@yahoo.com,"12/146, Kade, Panvel-892048",13.061183467946533,77.62425924195777
Hunar,Bhavsar,vedikasaha@hotmail.com,"50, Bhattacharyya Street, Kadapa-743705",13.034000377647702,77.66100320790945
Vritika,Varkey,lalaarav@yahoo.com,"68/97, Gour Ganj, Hindupur 736743",12.909904570729855,77.69598583329265
Shlok,Lata,lankanakul@gmail.com,"08, Sankaran Ganj, Ongole 892554",12.9501186263202,77.70773149164899
Saksham,Dua,samarthkari@hotmail.com,"H.No. 44, Kapadia Circle, Serampore 100835",13.006474280901571,77.5995864639025
Misha,Rama,trisha32@hotmail.com,"81/473, Bhat Marg, Chapra 072364",12.908031870820082,77.57600684441756
